iter	Passed	Remaining
818	7080	10210
819	7088	10200
820	7096	10191
821	7105	10182
822	7113	10173
823	7121	10164
824	7130	10155
825	7139	10146
826	7147	10138
827	7156	10129
828	7164	10120
829	7173	10112
830	7182	10103
831	7190	10094
832	7200	10086
833	7209	10079
834	7218	10071
835	7228	10063
836	7236	10055
837	7246	10047
838	7255	10039
839	7265	10032
840	7275	10025
841	7284	10017
842	7293	10010
843	7302	10001
844	7312	9995
845	7321	9987
846	7331	9979
847	7340	9972
848	7349	9964
849	7358	9956
850	7368	9949
851	7378	9941
852	7387	9934
853	7397	9926
854	7405	9917
855	7415	9910
856	7425	9903
857	7433	9894
858	7442	9886
859	7451	9877
860	7460	9869
861	7469	9860
862	7478	9852
863	7486	9842
864	7494	9834
865	7503	9825
866	7512	9817
867	7522	9810
868	7531	9802
869	7541	9794
870	7551	9788
871	7561	9781
872	7570	9773
873	7579	9765
874	7589	9757
875	7597	9748
876	7608	9742
877	7617	9734
878	7626	9726
879	7635	9718
880	7644	9709
881	7653	9701
882	7662	9693
883	7671	9684
884	7680	9676
885	7689	9668
886	7698	9659
887	7707	9651
888	7716	9643
889	7727	9637
890	7737	9630
891	7746	9622
892	7756	9615
893	7766	9607
894	7774	9599
895	7783	9590
896	7793	9582
897	7802	9575
898	7812	9568
899	7823	9561
900	7833	9555
901	7843	9547
902	7853	9540
903	7862	9532
904	7871	9524
905	7876	9511
906	7886	9503
907	7896	9496
908	7905	9488
909	7914	9479
910	7922	9470
911	7931	9462
912	7940	9453
913	7949	9444
914	7957	9436
915	7966	9427
916	7975	9419
917	7983	9409
918	7992	9401
919	8002	9393
920	8012	9386
921	8021	9378
922	8030	9370
923	8040	9363
924	8049	9354
925	8059	9347
926	8068	9339
927	8077	9331
928	8087	9323
929	8097	9315
930	8106	9308
931	8115	9299
932	8125	9292
933	8134	9284
934	8144	9276
935	8153	9268
936	8162	9259
937	8171	9251
938	8179	9242
939	8188	9234
940	8196	9224
941	8206	9216
942	8215	9208
943	8224	9200
944	8232	9191
945	8242	9183
946	8252	9176
947	8261	9167
948	8270	9159
949	8279	9151
950	8289	9144
951	8298	9135
952	8309	9129
953	8319	9121
954	8328	9113
955	8339	9106
956	8348	9098
957	8357	9090
958	8366	9082
959	8376	9074
960	8385	9066
961	8394	9057
962	8403	9049
963	8412	9040
964	8422	9033
965	8430	9024
966	8439	9016
967	8449	9007
968	8458	8999
969	8467	8990
970	8475	8982
971	8484	8973
972	8494	8965
973	8502	8956
974	8511	8947
975	8519	8938
976	8528	8930
977	8538	8922
978	8547	8913
979	8553	8902
980	8563	8895
981	8573	8887
982	8582	8879
983	8592	8871
984	8602	8864
985	8613	8857
986	8622	8849
987	8631	8841
988	8641	8833
989	8651	8825
990	8660	8817
991	8669	8809
992	8679	8801
993	8688	8793
994	8697	8785
995	8707	8777
996	8716	8768
997	8725	8760
998	8733	8751
999	8742	8742
1000	8751	8733
1001	8759	8724
1002	8768	8716
1003	8777	8707
1004	8785	8698
1005	8794	8689
1006	8802	8680
1007	8811	8671
1008	8821	8663
1009	8829	8655
1010	8839	8647
1011	8848	8638
1012	8859	8632
1013	8869	8624
1014	8878	8616
1015	8889	8609
1016	8899	8601
1017	8910	8595
1018	8920	8588
1019	8930	8580
1020	8941	8573
1021	8950	8565
1022	8961	8558
1023	8972	8551
1024	8982	8544
1025	8992	8536
1026	9004	8530
1027	9014	8523
1028	9024	8515
1029	9034	8508
1030	9044	8500
1031	9054	8492
1032	9063	8484
1033	9072	8476
1034	9082	8468
1035	9092	8460
1036	9102	8452
1037	9111	8444
1038	9120	8435
1039	9130	8427
1040	9141	8421
1041	9151	8413
1042	9160	8405
1043	9169	8396
1044	9180	8389
1045	9189	8381
1046	9199	8373
1047	9209	8365
1048	9218	8357
1049	9229	8350
1050	9238	8342
1051	9248	8334
1052	9258	8326
1053	9268	8318
1054	9277	8310
1055	9287	8302
1056	9296	8294
1057	9305	8285
1058	9314	8276
1059	9323	8267
1060	9332	8259
1061	9340	8250
1062	9349	8241
1063	9358	8232
1064	9367	8224
1065	9377	8216
1066	9386	8207
1067	9396	8199
1068	9406	8192
1069	9415	8183
1070	9425	8175
1071	9434	8167
1072	9444	8159
1073	9454	8151
1074	9463	8143
1075	9474	8136
1076	9483	8127
1077	9493	8119
1078	9502	8110
1079	9511	8102
1080	9522	8095
1081	9531	8086
1082	9540	8077
1083	9549	8069
1084	9558	8061
1085	9568	8052
1086	9577	8044
1087	9586	8035
1088	9595	8026
1089	9604	8018
1090	9612	8009
1091	9622	8001
1092	9631	7992
1093	9639	7983
1094	9648	7974
1095	9657	7965
1096	9666	7956
1097	9675	7948
1098	9685	7940
1099	9694	7931
1100	9703	7923
1101	9712	7914
1102	9721	7906
1103	9731	7898
1104	9741	7889
1105	9752	7882
1106	9761	7874
1107	9772	7867
